40.81147001,-96.68791604
40.8104943,-96.6891308
40.8105471,-96.6891375
40.8106354,-96.6891563
40.8107095,-96.6891643
40.8108211,-96.6891563
40.8109013,-96.6891295
40.8109353,-96.689112
40.8109714,-96.6890651
40.8109978,-96.688996
40.8110181,-96.6889417
40.8110348,-96.6888921
40.8110516,-96.6887995
40.811084,-96.6887311
40.81115,-96.6886909
40.8112495,-96.6886855
40.8112952,-96.688648
40.8113652,-96.6885836
40.8114363,-96.6885742
40.8115206,-96.6886089
40.8115663,-96.6886666
40.8115947,-96.6887175
40.8116739,-96.6887752
40.8117195,-96.6887792
40.8118134,-96.6887357
40.8118992,-96.6887162
40.8119438,-96.6886921
40.8119926,-96.6886733
40.8120332,-96.6886371
40.8120474,-96.6885794
40.8120403,-96.6884989
40.812021,-96.6883997
40.8119916,-96.6883313
40.8119763,-96.688228
40.8119642,-96.6881422
40.8119611,-96.6880644
40.8119565,-96.6880141
40.81908576,-96.69120128
